,字节跳动,数据产品经理,北京,2-3.5万/月,09-03
72,河南玉商通实业有限公司,数据产品经理,郑州-郑东新区,3-6千/月,09-03
73,深圳市全药网科技有限公司,数据产品经理,深圳-南山区,45-65万/年,09-03
74,珠海达人网络科技有限公司,数据产品经理,珠海,3-5万/月,09-03
75,本无网络科技有限公司,数据产品经理,重庆-沙坪坝区,1-1.5万/月,09-03
76,易居企业（中国）集团有限公司,数据产品经理,上海-静安区,1.5-2.5万/月,09-03
77,美国HOZ（瑞邦）时尚国际机构中国...,数据产品经理,广州-天河区,5.5-7千/月,09-03
78,浙江米奥兰特商务会展股份有限公司...,数据产品经理,杭州-滨江区,1-1.5万/月,09-03
79,武汉易猫猫网络科技有限公司,数据产品经理,武汉-武昌区,3-4.5千/月,09-03
80,深圳市快门科技有限公司,数据产品经理,深圳-南山区,1.5-2万/月,09-03
81,广州市原象信息科技有限公司北京分...,数据产品经理,广州-海珠区,0.7-1万/月,09-03
82,上海浩泽净水科技发展有限公司,数据产品经理,上海-浦东新区,0.8-1.5万/月,09-03
83,南京元德教育科技股份有限公司,数据产品经理,南京-鼓楼区,3-4.5千/月,09-03
84,武汉矿世大陆科技有限公司,数据产品经理,武汉-江汉区,5-8千/月,09-03
85,石家庄君乐宝乳业有限公司,数据产品经理,石家庄,3-4.5千/月,09-03
86,武汉橙果贸易有限公司,数据产品经理,武汉,5-8千/月,09-03
87,深圳市比洋光通信科技股份有限公司...,数据产品经理,深圳-龙华新区,0.8-1.5万/月,09-03
88,北京佰信蓝图科技有限公司,数据产品经理,北京-昌平区,0.5-1万/月,09-03
89,上海微创软件股份有限公司,数据产品经理,成都,0.9-1.2万/月,09-03
90,香港亮点摄影器材股份有限公司,数据产品经理,深圳-福田区,5-7千/月,09-03
91,赛尔富电子有限公司,数据产品经理,宁波,0.7-1万/月,09-03
92,贝泰妮集团,数据产品经理,昆明,4.5-6千/月,09-03
93,成都环宇世纪商务咨询有限公司,数据产品经理,成都-高新区,0.8-1万/月,09-03
94,山东易华录信息技术有限公司,数据产品经理,济南,1-2万/月,09-03
95,移动设计院福建分公司,数据产品经理,福州,,09-03
96,广东银雁服务外包有限公司,数据产品经理,广州-天河区,3.8-4.2千/月,09-03
97,广州市金匙房地产物业服务有限公司...,数据产品经理,广州-越秀区,3.5-3.7千/月,09-03
98,上海宜硕网络科技有限公司,数据产品经理,上海-徐汇区,0.7-1.2万/月,09-03
99,上海宝信软件股份有限公司,数据产品经理,上海-浦东新区,2-4万/月,09-03
100,郑州苕麟厮信息科技有限公司,数据产品经理,郑州,4.5-6千/月,09-03
101,东莞市乐其网络科技有限公司广州分...,数据产品经理,广州-天河区,6-8千/月,09-03
102,广东集成数据有限公司,数据产品经理,异地招聘,0.6-1.2万/月,09-03
103,驴妈妈旅游网,数据产品经理,上海-嘉定区,1.2-2万/月,09-03
104,佳亨（浙江）金属科技有限公司,数据产品经理,嘉兴,3-4.5千/月,09-03
105,湖南三力信息技术有限公司,数据产品经理,长沙-芙蓉区,5-8千/月,09-03
106,上海康培科技有限公司,数据产品经理,上海,1.5-2万/月,09-03
107,北京万向通汇投资有限公司,数据产品经理,北京-丰台区,0.9-1.5万/月,09-03
108,深圳市沃星实业有限公司,数据产品经理,深圳-福田区,6-8千/月,09-03
109,亮风台（上海）信息科技有限公司,数据产品经理,上海-浦东新区,2-3万/月,09-03
