,字节跳动,数据产品经理,北京,2-3.5万/月,09-03
1280,上海超米广告有限公司,数据分析师,上海-徐汇区,6-8千/月,09-03
1281,上海葭益商务信息咨询有限公司,数据分析师,上海-徐汇区,5.5-8千/月,09-03
1282,日通（大连）科技有限公司,数据分析师,大连,4-6千/月,09-03
1283,喜文电子商务（珠海）有限公司,数据分析师,珠海-香洲区,4-6千/月,09-03
1284,广州天雄网络科技有限公司,数据分析师,广州-天河区,4.5-6千/月,09-03
1285,圣迪保顿（中国）有限公司,数据分析师,深圳-龙岗区,4.5-6千/月,09-03
1286,上海软科教育信息咨询有限公司,数据分析师,上海-闵行区,1.5-2.5万/月,09-03
1287,上海杰狮信息技术有限公司,数据分析师,杭州-西湖区,0.8-1万/月,09-03
1288,广东和新科技有限公司,数据分析师,广州,4-6千/月,09-03
1289,上海过河兵软件科技有限公司,数据分析师,上海-徐汇区,0.6-1.8万/月,09-03
1290,安徽百诚慧通科技有限公司,数据分析师,合肥-高新区,1-2万/月,09-03
1291,宁波优耐特进出口有限公司,数据分析师,宁波,6-8万/年,09-03
1292,和合期货,数据分析师,上海-浦东新区,6-8千/月,09-03
1293,恒玖旅行社有限公司,数据分析师,昆明-官渡区,3-4.5千/月,09-03
1294,江苏公信软件科技发展有限公司,数据分析师,南京-鼓楼区,0.8-1.6万/月,09-03
1295,惠州市几米物联技术有限公司,数据分析师,惠州,0.7-1.2万/月,09-03
1296,广州天章网络科技有限公司,数据分析师,广州-天河区,4.5-6千/月,09-03
1297,成都欣荣达商贸有限公司,数据分析师,成都-成华区,4.5-6千/月,09-03
1298,广东联通通信建设有限公司,数据分析师,广州-天河区,10-15万/年,09-03
1299,广州华工邦元信息技术有限公司,数据分析师,广州,12-24万/年,09-03
1300,深圳市杰迪网络技术有限公司,数据分析师,深圳-福田区,15-20万/年,09-03
1301,杭州蚁阵数据科技有限公司,数据分析师,杭州-萧山区,0.8-1万/月,09-03
1302,浙江绿城房屋置换有限公司,数据分析师,杭州-拱墅区,3-4.5千/月,09-03
1303,广州市城建开发集团名特网络发展有...,数据分析师,广州-天河区,20-30万/年,09-03
1304,山西万付通电子科技有限公司,数据分析师,太原,4.5-6千/月,09-03
1305,广东鼎湖山泉有限公司,数据分析师,广州-天河区,0.6-1.5万/月,09-03
1306,上海惟吾人才服务有限公司,数据分析师,上海-闵行区,0.8-1万/月,09-03
1307,上海罗盘信息科技有限公司,数据分析师,深圳-福田区,1-1.5万/月,09-03
1308,上海蓝全人力资源有限公司,数据分析师,东莞-南城区,6-8千/月,09-03
1309,青岛万利通达商务咨询有限公司,数据分析师,青岛-市北区,4.5-6千/月,09-03
1310,深圳柯华创想科技有限公司,数据分析师,广州-天河区,1-1.5万/月,09-03
1311,湖北福尔克商贸有限公司,数据分析师,武汉-武昌区,2.5-3.5千/月,09-03
1312,湖北省零度银色冰雪实业有限公司,数据分析师,武汉-青山区,5-8千/月,09-03
1313,临沂影漫文化传媒有限公司,数据分析师,青岛-市北区,6-8千/月,09-03
1314,深圳前海美通金融信息服务有限公司...,数据分析师,长沙-雨花区,4-6千/月,09-03
1315,广州必云信息科技有限责任公司,数据分析师,广州-天河区,0.6-1万/月,09-03
1316,申通快递有限公司,数据分析师,上海,5-6.5千/月,09-03
1317,北京码农星球软件有限公司,数据分析师,异地招聘,6-9千/月,09-03
1318,湖南优帛名品商贸有限公司,数据分析师,株洲,4-6千/月,09-03
1319,安徽皖仪科技股份有限公司,数据分析师,合肥-高新区,1.5-2万/月,09-03
1320,陕西事农果品有限公司,数据分析师,异地招聘,6-8千/月,09-03
1321,成都云信留客信息科技有限公司,数据分析师,成都-高新区,1.5-3万/月,09-03
1322,长沙谱蓝网络科技有限公司,数据分析师,武汉-洪山区,3-5.5千/月,09-03
1323,上海家化联合股份有限公司,数据分析师,上海,1-1.5万/月,09-03
1324,广州市正盟计算机科技有限公司,数据分析师,广州-天河区,1-1.5万/月,09-03
1325,纬创资通（昆山）有限公司,数据分析师,昆山,0.8-1万/月,09-03
1326,李氏大药厂控股有限公司,数据分析师,合肥,5-9千/月,09-03
1327,深圳市万生堂实业有限公司,数据分析师,深圳-福田区,6-8千/月,09-03
1328,纽仕兰新云（上海）电子商务有限公...,数据分析师,上海-长宁区,0.7-1万/月,09-03
1329,上海豪赞贸易有限公司,数据分析师,上海-嘉定区,6-8千/月,09-03
1330,佳格投资（中国）有限公司,数据分析师,上海-闵行区,4.5-6千/月,09-03
1331,杭州百诚医药科技股份有限公司,数据分析师,杭州-滨江区,8-15万/年,09-03
1332,深圳马六甲网络科技有限公司,数据分析师,深圳-福田区,2.5-4万/月,09-03
1333,云南凯瑞特重工科技有限公司,数据分析师,昆明-官渡区,5-9千/月,09-03
1334,深圳成武金石农业开发有限公司,数据分析师,深圳-福田区,5-5.5千/月,09-03
1335,昆明安琪儿妇产医院有限责任公司,数据分析师,昆明-五华区,3-4.5千/月,09-03
1336,上海瑞阙文化发展有限公司,数据分析师,上海-黄浦区,1.5-2万/月,09-03
1337,北京盛业恒泰投资有限公司,数据分析师,北京,0.8-1.2万/月,09-03
1338,三门峡崤云信息服务股份有限公司,数据分析师,三门峡,0.8-2万/月,09-03
1339,广州广日电气设备有限公司,数据分析师,广州-番禺区,4.5-6千/月,09-03
1340,海南高图网络科技有限公司,数据分析师,广州,1.5-2.5万/月,09-03
1341,三门峡崤云视联科技有限公司,数据分析师,三门峡,0.8-1.5万/月,09-03
1342,三门峡崤云安全服务有限公司,数据分析师,异地招聘,0.8-1.5万/月,09-03
1343,哈尔滨达仁金融服务外包有限公司,数据分析师,哈尔滨-香坊区,3-4.5千/月,09-03
1344,杭州悦玩网络科技有限公司,数据分析师,杭州-余杭区,1.5-2.5万/月,09-03
1345,杭州天赞测绘技术有限公司,数据分析师,杭州-西湖区,4-8千/月,09-03
1346,如薇化妆品（苏州）有限公司上海分...,数据分析师,上海-黄浦区,0.8-1.2万/月,09-03
1347,湖北银雁金融外包服务有限公司,数据分析师,武汉-江夏区,3-4.5千/月,09-03
1348,雪松控股集团-社区运营集团,数据分析师,广州-白云区,0.8-1.2万/月,09-03
1349,重庆希尔安药业有限公司,数据分析师,重庆-渝北区,0.8-1万/月,09-03
1350,中节能晶和照明有限公司,数据分析师,南昌,4-4.5千/月,09-03
1351,江苏恒通国际货运有限公司,数据分析师,上海,3.5-4千/月,09-03
1352,江西华邦传媒有限公司,数据分析师,南昌,4.5-6千/月,09-03
1353,中国平安财产保险股份有限公司陕西...,数据分析师,西安,6-8千/月,09-03
1354,茂业商业股份有限公司,数据分析师,成都-锦江区,3-4.5千/月,09-03
1355,中经网数据有限公司,数据分析师,北京-西城区,0.6-1万/月,09-03
1356,杭州明骏实业有限公司,数据分析师,杭州,0.8-1.2万/月,09-03
1357,江苏苏信房地产评估咨询有限公司,数据分析师,南京,6-8千/月,09-03
1358,宁波东海银行股份有限公司,数据分析师,宁波,10-17万/年,09-03
1359,广州伊羽霓贸易有限公司,数据分析师,广州,4-5.5千/月,09-03
1360,湖南煜恒文化传媒股份有限公司,数据分析师,长沙-天心区,5-7千/月,09-03
1361,上海微彤商贸有限公司,数据分析师,上海-静安区,4.5-8千/月,09-03
1362,深圳市摩米时尚科技有限公司,数据分析师,深圳-南山区,0.8-1.2万/月,09-03
1363,广东尚源信息技术有限公司,数据分析师,广州-越秀区,6-8千/月,09-03
1364,广东省环球网络科技有限公司,数据分析师,广州-天河区,1-1.8万/月,09-03
1365,深圳市知行合一电子商务有限公司湖...,数据分析师,长沙-天心区,5-7千/月,09-03
1366,广州锐库企业管理咨询有限公司,数据分析师,广州-海珠区,0.8-1万/月,09-03
1367,武汉格之律投资顾问有限公司,数据分析师,武汉-江岸区,3-4.5千/月,09-03
1368,杭州晨科软件技术有限公司,数据分析师,异地招聘,5-6千/月,09-03
1369,润联软件系统（深圳）有限公司,数据分析师,西安,1-2.5万/月,09-03
1370,深圳市惠享天成科技有限公司,数据分析师,深圳-龙岗区,0.6-1万/月,09-03
1371,华人运通控股（上海）有限公司,数据分析师,上海-杨浦区,3-4万/月,09-03
1372,陕西不老堂生物科技有限公司,数据分析师,西安,4.5-6千/月,09-03
1373,浙江宝业住宅产业化有限公司,数据分析师,绍兴,6-8千/月,09-03
1374,尚美生活集团有限公司,数据分析师,上海-长宁区,2-2.5万/月,09-03
1375,娅格国际时装,数据分析师,武汉,4.5-5.5千/月,09-03
1376,南京雪糕网络科技有限公司,数据分析师,南京-浦口区,0.8-1.5万/月,09-03
1377,上海申慧因私出入境服务有限公司,数据分析师,上海-黄浦区,2.9-3.5千/月,09-03
1378,武汉玛尚企业管理咨询有限公司,数据分析师,武汉-洪山区,3-4千/月,09-03
1379,苏州南讯科技有限公司,数据分析师,苏州-工业园区,4-6千/月,09-03
1380,浙江同兴技术股份有限公司,数据分析师,杭州-余杭区,0.8-1.5万/月,09-03
1381,房源控股,数据分析师,中山,6-8千/月,09-03
1382,广东金全贸易有限公司,数据分析师,东莞-南城区,3-4.5千/月,09-03
1383,黑龙江淞泰通信技术有限公司,数据分析师,哈尔滨-香坊区,4.5-6千/月,09-03
1384,武汉志实科技有限责任公司,数据分析师,武汉-武昌区,3-5千/月,09-03
1385,广东信德资产评估与房地产土地估价...,数据分析师,苏州-姑苏区,3-5千/月,09-03
1386,深圳市万智网络科技有限公司,数据分析师,深圳-龙岗区,0.8-1万/月,09-03
1387,智地信息科技（徐州）有限公司,数据分析师,徐州,0.5-1.2万/月,09-03
1388,上海易宝软件有限公司,数据分析师,成都-郫都区,1-2万/月,09-03
1389,中国电信研究院,数据分析师,广州,,09-03
1390,广东格兰仕集团有限公司,数据分析师,北京-海淀区,6-8千/月,09-03
1391,中盈优创资讯科技有限公司,数据分析师,南京,1.4-2万/月,09-03
1392,嘉兴凡迅企业管理有限公司,数据分析师,嘉兴,3.5-4千/月,09-03
1393,广东壹号食品股份有限公司,数据分析师,常州-新北区,4.5-6千/月,09-03
1394,青岛领越企业信息咨询有限公司,数据分析师,青岛-市北区,4.5-6千/月,09-03
1395,广州旭升源科技有限公司,数据分析师,济南,5-9千/月,09-03
1396,南通市慧盟贸易有限公司,数据分析师,南通,2.5-5千/月,09-03
1397,江苏创励安科技有限公司,数据分析师,苏州-吴江区,4-9千/月,09-03
1398,河南典正智能家居设备有限公司,数据分析师,郑州-金水区,4.5-6千/月,09-03
1399,西安盛恒智业物联网科技有限公司,数据分析师,西安-雁塔区,6-8千/月,09-03
1400,上海慕悉玛商务咨询有限公司,数据分析师,深圳-福田区,1.5-2万/月,09-03
1401,常州市东南开发区恒丰织造有限公司...,数据分析师,常州,3-4.5千/月,09-03
1402,广州赛意信息科技股份有限公司,数据分析师,深圳-龙华新区,1-2万/月,09-03
1403,四川新千里展示有限公司,数据分析师,成都-温江区,3-3.5千/月,09-03
1404,杭州方对网络科技有限公司,数据分析师,杭州-江干区,4-5千/月,09-03
1405,浙江冰虫环保科技有限公司,数据分析师,杭州-滨江区,4-6千/月,09-03
1406,河北华清环境科技集团股份有限公司...,数据分析师,石家庄,3.5-4.5千/月,09-03
1407,广州瀚嘉投资管理有限公司,数据分析师,武汉-洪山区,3-4千/月,09-03
1408,武汉易晟暖通技术有限公司,数据分析师,武汉-武昌区,3.3-4千/月,09-03
1409,金大元集团（上海）有限公司,数据分析师,上海,1-1.5万/月,09-02
1410,上海泰斗商务咨询有限公司,数据分析师,上海-黄浦区,4.5-6千/月,09-02
1411,武汉研锶信息科技有限公司,数据分析师,武汉-东湖新技...,3-4.5千/月,08-30
1412,移动设计院四川分公司,数据分析师,成都,,08-29
1413,艾昆纬医药科技（上海）有限公司,数据分析师,大连,,08-20
1414,广州汇华投资有限公司,数据分析师,广州,,08-12
1415,深圳索信达数据技术有限公司,数据分析师,深圳,1.3-2万/月,09-03
1416,全洲通大数据科技（武汉）有限公司...,数据分析师,武汉,4-4.5千/月,09-03
1417,深圳市付通云数据科技服务有限公司...,数据分析师,深圳-福田区,6-8千/月,09-03
1418,和君纵达数据科技有限公司,数据分析师,合肥-包河区,4.5-7千/月,09-03
1419,北京新锦成数据科技有限公司,数据分析师,北京-海淀区,2-3千/月,09-03
1420,苏州秒结数据处理服务有限公司,数据分析师,昆山,0.8-1万/月,09-03
1421,广东网金数据服务有限公司,数据分析师,广州-天河区,1-2万/月,09-03
1422,深圳市优泰数据科技有限公司,数据分析师,深圳-南山区,0.8-1万/月,09-03
1423,广州宗源数据科技有限公司,数据分析师,广州-天河区,5-8千/月,09-03
1424,武汉市优捷数据科技有限公司,数据分析师,武汉-武昌区,0.8-1万/月,09-03
1425,上海梦创双杨数据科技股份有限公司...,数据分析师,无锡,4-8千/月,09-03
1426,数据天空科技,数据分析师,北京-西城区,1-1.5万/月,09-03
1427,广州大咖数据服务有限公司,数据分析师,广州-白云区,5-9千/月,09-03
1428,万国数据服务有限公司,数据分析师,北京-朝阳区,1.5-2万/月,09-03
1429,安徽易德数据科技有限公司,数据分析师,合肥,0.8-1万/月,09-03
1430,苏州乔客云数据科技有限公司,数据分析师,上海,1-1.5万/月,09-03
1431,东莞市浩宇数据科技有限公司,数据分析师,东莞-莞城区,6-8千/月,09-03
1432,云之富（上海）数据服务有限公司,数据分析师,上海-徐汇区,5-7千/月,09-03
1433,黑龙江省容维证券数据程序化有限公...,数据分析师,合肥-滨湖新区,4.5-6千/月,09-03
1434,深圳市快金数据技术服务有限公司,数据分析师,深圳-福田区,6-8千/月,09-03
1435,江苏蜂华智联数据科技有限公司,数据分析师,南京-雨花台区,3.5-5.5千/月,09-03
1436,北京卓思天成数据咨询股份有限公司...,数据分析师,广州-天河区,0.8-1.2万/月,09-03
1437,伯图大数据管理有限公司西安分公司...,数据分析师,西安-高新技术...,0.6-1.2万/月,09-03
1438,青岛中科祥云大数据科技有限公司,数据分析师,青岛-城阳区,0.8-1万/月,09-03
1439,苏州智在云数据科技有限公司,数据分析师,苏州-工业园区,4-7千/月,09-03
1440,中策大数据咨询（深圳）有限公司,数据分析师,深圳-南山区,1.5-2.5万/月,09-03
1441,成都卡普数据服务有限责任公司,数据分析师,异地招聘,4.5-6千/月,09-03
1442,武汉达梦数据库有限公司,数据分析师,南宁,0.7-1.3万/月,09-03
1443,杭州同花顺数据开发有限公司,数据分析师,杭州-余杭区,1.5-3万/月,09-03
1444,任拓数据科技（上海）有限公司,数据分析师,上海,4.5-6千/月,09-03
1445,航天壹进制（南京）数据科技有限公...,数据分析师,南京-秦淮区,4.5-5.5千/月,09-03
1446,上海恩梯梯数据晋恒软件有限公司,数据分析师,上海-浦东新区,2-2.3万/月,09-03
1447,北京捷报数据技术有限公司,数据分析师,北京-朝阳区,100元/天,09-03
1448,乐易数据有限公司,数据分析师,天津-滨海新区,1.5-2万/月,09-03
1449,杭州快汇数据服务有限公司,数据分析师,杭州-西湖区,1-1.5万/月,09-03
1450,北京天码吉通数据防伪科技有限公司...,数据分析师,北京-大兴区,0.8-1万/月,09-03
1451,广州鑫汇数据服务有限公司,数据分析师,广州-天河区,6-8千/月,09-03
1452,重庆汇鑫垒大数据有限公司,数据分析师,重庆-南岸区,0.5-1.5万/月,09-03
1453,青岛好驻大数据科技有限公司,数据分析师,青岛-市北区,4-8千/月,09-03
1454,广东精点数据科技股份有限公司,数据分析师,广州-番禺区,1-1.5万/月,09-03
1455,火石创造（医健产业大数据）,数据分析师,杭州-滨江区,1.5-2万/月,09-03
1456,福建省地信数据科技有限公司,数据分析师,福州-闽侯县,4-5.5千/月,09-03
1457,北京东方博泰文档数据科技有限公司...,数据分析师,昆山,3-4.5千/月,09-03
1458,上海数据港股份有限公司,数据分析师,上海,1.2-2.5万/月,09-03
1459,上海慧添云数据科技有限公司,数据分析师,上海-徐汇区,0.8-1万/月,09-03
1460,江苏西格数据科技有限公司,数据分析师,苏州-工业园区,1.5-2万/月,09-03
1461,北京博睿宏远数据科技股份有限公司...,数据分析师,北京-东城区,0.6-1.2万/月,09-03
1462,北京汇志凌云数据技术有限责任公司...,数据分析师,上海-徐汇区,0.8-1万/月,09-03
1463,福韵数据服务有限公司,数据分析师,长沙-雨花区,0.8-1.5万/月,09-03
1464,云聚数据科技（上海）有限公司,数据分析师,成都-高新区,1-1.5万/月,09-03
1465,全洲通大数据科技（武汉）有限公司...,数据分析师,武汉-武昌区,3-4.5千/月,09-03
1466,建投数据科技股份有限公司,数据分析师,北京-海淀区,1.5-2万/月,09-03
1467,广州拉卡数据服务有限公司,数据分析师,佛山-南海区,0.8-1万/月,09-03
1468,民基新零售大数据中心,数据分析师,西安-未央区,4-6千/月,09-03
1469,新德智能大数据科技（深圳）有限公...,数据分析师,异地招聘,0.7-1.2万/月,09-03
1470,广州拓尔思大数据有限公司,数据分析师,广州-天河区,4-8千/月,09-03
1471,成都锐理数据处理技术股份有限公司...,数据分析师,成都-高新区,10-15万/年,09-03
1472,北京海量数据技术股份有限公司,数据分析师,贵阳,0.5-1万/月,09-03
1473,四川新中新智慧数据科技有限公司,数据分析师,德阳,3-4.5千/月,09-03
1474,武汉市洪元泰数据科技有限公司,数据分析师,武汉-洪山区,0.6-1.5万/月,09-03
1475,南京云创大数据科技股份有限公司,数据分析师,南京,4-5千/月,09-03
1476,武汉国贸通大数据有限公司,数据分析师,武汉-洪山区,1-1.5万/月,09-03
1477,舟谱数据技术南京有限公司,数据分析师,南京,5-8千/月,09-03
1478,黑龙江省容维证券数据程序化有限公...,数据分析师,天津-和平区,4-8千/月,09-03
1479,江苏高瞻数据科技有限公司,数据分析师,盐城,4-5千/月,09-03
1480,深圳国泰安数据技术有限公司,数据分析师,深圳-南山区,0.8-1.1万/月,09-03
1481,贵州人和致远数据服务有限责任公司...,数据分析师,异地招聘,0.6-1万/月,09-03
1482,武汉长新大数据产业运营有限公司,数据分析师,武汉,20-30万/年,09-03
1483,上海亚细通数据系统有限公司,数据分析师,上海-浦东新区,4.5-6.5千/月,09-03
1484,上海博达数据通信有限公司,数据分析师,上海,10-15万/年,09-03
1485,浙江大运盈通数据信息服务有限公司...,数据分析师,嘉兴,120元/天,09-03
1486,南昌君丽大数据服务有限公司,数据分析师,南昌-红谷滩新...,0.8-1万/月,09-03
1487,上海大智慧财汇数据科技有限公司,数据分析师,北京-西城区,1-2万/月,09-03
1488,竹阩智能数据（合肥）有限公司,数据分析师,合肥-经开区,0.5-1.5万/月,09-03
1489,营软数据（厦门）医药有限公司,数据分析师,厦门,4-8千/月,09-03
1490,江苏实达迪美数据处理有限公司,数据分析师,昆山,1.5-2万/月,09-03
1491,广东鑫一顺数据科技有限公司,数据分析师,广州-天河区,4.5-6千/月,09-03
1492,杭州明月思易数据服务有限公司,数据分析师,杭州-西湖区,1-2万/月,09-03
1493,上海别样秀数据科技有限公司,数据分析师,无锡-江阴市,4-7千/月,09-03
1494,浙江华工赛百数据系统有限公司,数据分析师,宁波-江北区,6-8千/月,09-03
1495,成都易商商盟数据服务有限公司,数据分析师,成都-高新区,0.8-1万/月,09-03
1496,深圳市时耕数据有限公司,数据分析师,深圳-南山区,1-2.3万/月,09-03
1497,苏州市银雁数据处理有限公司,数据分析师,苏州-工业园区,4.5-6千/月,09-03
1498,深圳海纳生财数据处理有限公司,数据分析师,深圳-南山区,0.6-1.2万/月,09-03
1499,上海即富数据服务有限公司,数据分析师,上海-浦东新区,0.5-1万/月,09-03
1500,北京数据在线国际供应链管理股份有...,数据分析师,北京-西城区,0.9-1.2万/月,09-03
1501,浙江君南泛海数据服务有限公司,数据分析师,宁波-高新区,0.5-1万/月,09-03
1502,立信（重庆）数据科技股份有限公司...,数据分析师,昆明,2.6-4.5千/月,09-03
1503,南京科融数据系统股份有限公司,数据分析师,南京,1-1.5万/月,09-03
1504,宿州和君纵达数据科技有限公司,数据分析师,宿州,6-8千/月,09-03
1505,上海宝信数据中心有限公司,数据分析师,上海,8-10万/年,09-03
1506,深圳市今日投资数据科技有限公司,数据分析师,深圳,15-25万/年,09-03
1507,广州元数据信息科技有限公司,数据分析师,广州-番禺区,0.7-1万/月,09-03
1508,武汉珞珈众恒遥感数据科技有限公司...,数据分析师,武汉-洪山区,0.9-2万/月,09-03
1509,西安寰宇卫星测控与数据应用有限公...,数据分析师,西安-长安区,0.6-1万/月,09-03
1510,英惠数据处理（上海）有限公司,数据分析师,苏州,0.6-1万/月,09-03
1511,恩梯梯数据（中国）信息技术有限公...,数据分析师,无锡-无锡新区,4-5千/月,09-03
1512,佛山云房数据信息技术有限公司,数据分析师,佛山,3-4千/月,09-03
1513,厦门口袋数据科技有限公司,数据分析师,厦门,0.6-1.2万/月,09-03
1514,长沙不褪色数据科技有限公司,数据分析师,长沙-开福区,3.5-8千/月,09-03
1515,华存数据信息技术有限公司,数据分析师,上海,1-1.8万/月,09-03
1516,西安速度时空大数据科技有限公司,数据分析师,西安-雁塔区,0.8-1.2万/月,09-03
1517,深圳市蜂窝数据信息技术有限公司,数据分析师,深圳-宝安区,6-8千/月,09-03
1518,北京卓信智恒数据科技股份有限公司...,数据分析师,北京-石景山区,0.7-1.5万/月,09-03
1519,深圳银雁数据科技有限公司,数据分析师,上海-松江区,0.6-2万/月,09-03
1520,上海淘略数据处理有限公司,数据分析师,上海-徐汇区,4.5-6千/月,09-03
1521,杭州人社云数据科技有限公司,数据分析师,宁波-象山县,4.2-5.5千/月,09-03
1522,昆山萤火虫数据科技有限公司,数据分析师,昆山,4.5-6千/月,09-03
1523,河南智云数据信息技术股份有限公司...,数据分析师,郑州,0.8-1万/月,09-03
1524,大象数据（广州）科技有限公司,数据分析师,广州-海珠区,3-5千/月,09-03
1525,湖北承大银河数据技术有限公司,数据分析师,武汉-江夏区,3-4.5千/月,09-03
1526,苏州市环亚数据技术有限公司,数据分析师,临沂,4-7千/月,09-03
1527,南京微友云服数据科技合伙企业(有...,数据分析师,南京-建邺区,1-1.5万/月,09-03
1528,金财互联数据服务有限公司,数据分析师,广州-黄埔区,1.5-2万/月,09-03
1529,柏科数据技术（深圳）股份有限公司...,数据分析师,上海-松江区,6-9千/月,09-03
1530,广州云房数据服务有限公司,数据分析师,广州-天河区,0.6-1万/月,09-03
1531,中卅数据信息技术（苏州）有限公司...,数据分析师,苏州,4.5-6千/月,09-03
1532,广州市卓越数据有限公司,数据分析师,广州-白云区,0.8-1万/月,09-03
1533,中科大数据（广州）有限公司,数据分析师,广州-海珠区,1-1.5万/月,09-03
1534,广州图匠数据科技有限公司,数据分析师,广州-海珠区,2-3.5万/月,09-03
1535,杭州合众数据技术有限公司,数据分析师,杭州-滨江区,4-8千/月,09-03
1536,江苏海推数据科技有限公司,数据分析师,无锡,4-6千/月,09-03
1537,广州市美达克数据科技有限公司,数据分析师,广州,4.5-6千/月,09-03
1538,地中海航运数据处理（武汉）有限公...,数据分析师,武汉-洪山区,4-5千/月,09-03
1539,广州佳都数据服务有限公司,数据分析师,广州-海珠区,7-9千/月,09-03
1540,上海德衡数据科技有限公司,数据分析师,上海-浦东新区,0.8-1.6万/月,09-03
1541,和君纵达数据科技有限公司,数据分析师,昆山,1-1.5万/月,09-03
1542,南京复创大数据产业发展有限公司,数据分析师,南京-江宁区,0.7-1.4万/月,09-03
1543,华夏经纬（广州）数据科技股份有限...,数据分析师,广州-番禺区,0.6-1万/月,09-03
1544,恩智数据科技（杭州）有限公司,数据分析师,杭州-滨江区,1-1.5万/月,09-03
1545,上海瀚铭数据信息有限公司,数据分析师,上海-浦东新区,1.5-2万/月,09-03
1546,深圳市云雾数据科技有限公司,数据分析师,深圳-龙华新区,1.3-2万/月,09-03
1547,杉付通数据科技有限公司,数据分析师,上海-杨浦区,6-8千/月,09-03
1548,黑龙江省容维证券数据程序化有限公...,数据分析师,合肥-滨湖新区,4.5-6千/月,09-03
1549,中企永联数据交换技术（北京）有限...,数据分析师,北京-海淀区,4.5-6千/月,09-03
1550,深圳市喜悦智慧数据有限公司,数据分析师,深圳,0.8-1万/月,09-03
1551,中电（福建）健康医疗大数据运营服...,数据分析师,福州-晋安区,6-9千/月,09-03
1552,江苏点木通大数据科技有限公司,数据分析师,昆山,4.5-6千/月,09-03
1553,四川沿时代数据服务有限公司,数据分析师,成都-金牛区,0.4-1万/月,09-03
1554,广州智付数据服务有限公司,数据分析师,广州-荔湾区,3-4.5千/月,09-03
1555,苏州开眼数据技术股份有限公司上海...,数据分析师,上海-徐汇区,5-8千/月,09-03
1556,深圳一米数据科技有限公司,数据分析师,深圳-南山区,4.5-6千/月,09-03
1557,江苏汇通金融数据股份有限公司,数据分析师,异地招聘,1-1.5万/月,09-03
1558,京联凯立达（北京）大数据科技有限...,数据分析师,北京-房山区,6-8千/月,09-03
1559,广州如约数据科技有限公司,数据分析师,广州-天河区,8-15万/年,09-03
1560,江苏优闼数据科技有限公司,数据分析师,天津-东丽区,0.9-2万/月,09-03
1561,上海人科数据科技有限公司,数据分析师,上海-长宁区,1.5-2.5万/月,09-03
1562,贵州数安汇大数据产业发展有限公司...,数据分析师,贵阳,10-15万/年,09-03
1563,三星数据系统（西安）有限公司,数据分析师,西安,1.1-1.7万/月,09-03
1564,上海蓬海涞讯数据技术有限公司,数据分析师,异地招聘,3-6千/月,09-03
1565,广州湛蓝数据科技有限公司,数据分析师,广州-黄埔区,10-20万/年,09-03
1566,福州（闽侯）中科数据应用技术研究...,数据分析师,福州-闽侯县,2.8-3.5千/月,09-03
1567,创络（上海）数据科技有限公司,数据分析师,上海-虹口区,1.5-2万/月,09-03
1568,江苏远洋数据股份有限公司,数据分析师,昆山,0.4-1.5万/月,09-03
1569,内蒙古云科数据服务股份有限公司,数据分析师,异地招聘,3-4.5千/月,09-03
1570,福建中科星泰数据科技有限公司,数据分析师,福州,4.5-6千/月,09-03
1571,上海客优数据科技有限公司,数据分析师,上海-浦东新区,5-7千/月,09-03
1572,仁医（上海）大数据信息科技有限公...,数据分析师,上海-普陀区,0.7-1.5万/月,09-03
1573,南京弘蒙数据科技有限公司,数据分析师,南京-玄武区,6-8千/月,09-03
1574,四川旅投智慧游大数据科技有限公司...,数据分析师,成都-高新区,3.8-8千/月,09-03
1575,重庆高疆数据科技有限公司,数据分析师,重庆,4-8千/月,09-03
1576,广州市隽晔数据服务有限公司,数据分析师,广州-南沙区,4.5-6千/月,09-03
1577,成都原子数据科技有限公司,数据分析师,成都-武侯区,1.5-2.5万/月,09-03
1578,中国电子口岸数据中心深圳分中心,数据分析师,深圳-福田区,6-9千/月,09-03
1579,广东凯捷商业数据处理服务有限公司...,数据分析师,佛山,6.5-9千/月,09-03
1580,西安倍格特数据技术有限公司,数据分析师,西安-雁塔区,0.5-1万/月,09-03
1581,南京君合创胜数据科技有限责任公司...,数据分析师,珠海,0.7-1.4万/月,09-03
1582,浙江华坤道威数据科技有限公司,数据分析师,杭州-西湖区,0.6-1万/月,09-03
1583,宜居云装（深圳）数据科技有限公司...,数据分析师,深圳-罗湖区,3-6千/月,09-03
1584,湖南立森数据技术有限公司,数据分析师,长沙-天心区,8-10万/年,09-03
1585,杭州博世数据网络有限公司,数据分析师,杭州,1-2万/月,09-03
1586,合肥和君纵达数据科技有限公司,数据分析师,合肥-滨湖新区,4-7千/月,09-03
1587,江苏居才数据科技有限公司,数据分析师,上海-普陀区,4.5-6千/月,09-03
1588,西安奥卡云数据科技有限公司,数据分析师,西安-西咸新区,1.5-2万/月,09-03
1589,为朔医学数据科技(北京)有限公司,数据分析师,郑州-中原区,3-4.5千/月,09-03
1590,南京睿晖数据技术有限公司,数据分析师,南京-浦口区,1-2万/月,09-03
1591,江苏宝和数据股份有限公司,数据分析师,南京,0.8-1.2万/月,09-03
1592,合肥晨玺数据科技有限公司,数据分析师,合肥-政务区,6-8千/月,09-03
1593,广州匠医工大数据有限公司,数据分析师,广州-黄埔区,0.5-1.5万/月,09-03
1594,通联数据股份公司,数据分析师,上海-虹口区,1-1.5万/月,09-03
